"Freq [GHz]","dB(St(Feed_thick_T1,Feed_thick_T1)) []"
0.1,-0.000235776423271729
0.19975,-0.00048211864879104
0.2995,-0.000746919877578128
0.39925,-0.00103453990661269
0.499,-0.00134810271614008
0.59875,-0.001690656843499
0.6985,-0.00206534152141792
0.79825,-0.00247530679830659
0.898,-0.00292364485108265
0.99775,-0.00341336907611598
1.0975,-0.00394742194957541
1.19725,-0.00452869533332519
1.297,-0.0051600522164448
1.39675,-0.00584434474698999
1.4965,-0.006584426646355
1.59625,-0.00738316013109003
1.696,-0.00824341729947573
1.79575,-0.00916807686878236
1.8955,-0.0101600167390614
1.99525,-0.0112221022413559
2.095,-0.0123571708349798
2.19475,-0.0135680126443173
2.2945,-0.0148573471935602
2.39425,-0.0162277958512367
2.494,-0.0176818500340128
2.59375,-0.0192218348407768
2.6935,-0.0208498681689572
2.79325,-0.0225678150834299
2.893,-0.0243772374689464
2.99275,-0.0262793395473366
3.0925,-0.0282749086919463
3.19225,-0.0303642533408095
3.292,-0.032547137668346
3.39175,-0.0348227144045803
3.4915,-0.037189456907013
3.59125,-0.0396450932633549
3.691,-0.0421865416234172
3.79075,-0.0448098515388805
3.8905,-0.0475101528418072
3.99025,-0.0502816135501799
4.09,-0.0531174108741877
4.18975,-0.0560097179359474
4.2895,-0.0589497075094923
4.38925,-0.0619275770865728
4.489,-0.0649325955181937
4.58875,-0.067953173726598
4.6885,-0.0709769597109769
4.78825,-0.0739909577689233
4.888,-0.0769816707211678
4.98775,-0.0799352626693358
5.0875,-0.0828377395867041
5.18725,-0.0856751428122988
5.287,-0.0884337507643509
5.38675,-0.0911002827052479
5.4865,-0.0936620989326692
5.58625,-0.0961073906430415
5.686,-0.0984253537862896
5.78575,-0.100606341401514
5.8855,-0.10264198992926
5.98525,-0.10452531600804
6.085,-0.106250781603361
6.18475,-0.107814326612638
6.2845,-0.109213369397733
6.38425,-0.110446776993995
6.484,-0.111514807769255
6.58375,-0.112419030127267
6.6835,-0.113162221573767
6.78325,-0.113748252615594
6.883,-0.114181960206982
6.98275,-0.114469015301425
7.0825,-0.114615788391687
7.18225,-0.114629217260719
7.282,-0.114516679367364
7.38175,-0.114285871942703
7.4815,-0.113944701240493
7.58125,-0.113501182229827
7.681,-0.112963349614746
7.78075,-0.112339179904217
7.8805,-0.111636524976302
7.98025,-0.110863055883312
8.08,-0.110026216600017
8.17975,-0.109133186737033
8.2795,-0.108190852200127
8.37925,-0.107205782668334
8.479,-0.106184214906912
8.57875,-0.105132041417625
8.6785,-0.1040548028509
8.77825,-0.102957683953063
8.878,-0.101845512285574
8.97775,-0.10072275928185
9.0775,-0.0995935431928947
9.17725,-0.0984616341508454
9.277,-0.0973304607198362
9.37675,-0.0962031185517317
9.4765,-0.095082381176718
9.57625,-0.0939707129164873
9.676,-0.0928702837022566
9.77575,-0.0917829866483175
9.8755,-0.0907104570005942
9.97525,-0.0896540928402063
10.075,-0.0886150767101549
10.17475,-0.0875943974907155
10.2745,-0.0865928721262843
10.37425,-0.0856111661212058
10.474,-0.0846498129648706
10.57375,-0.083709231644359
10.6735,-0.0827897422289076
10.77325,-0.0818915795674185
10.873,-0.0810149050066712
10.97275,-0.0801598164801247
11.0725,-0.07932635704454
11.17225,-0.0785145221737321
11.272,-0.0777242659273425
11.37175,-0.0769555064049104
11.4715,-0.0762081303944174
11.57125,-0.0754819975493319
11.671,-0.0747769441785974
11.77075,-0.0740927866266681
11.8705,-0.0734293244224361
11.97025,-0.0727863431927726
12.07,-0.0721636174431197
12.16975,-0.0715609129213951
12.2695,-0.0709779892236515
12.36925,-0.070414601795813
12.469,-0.0698705041875843
12.56875,-0.0693454499078978
12.6685,-0.0688391943310583
12.76825,-0.0683514962759084
12.868,-0.0678821198045461
12.96775,-0.0674308355057294
13.0675,-0.0669974221051329
13.16725,-0.0665816675950849
13.267,-0.0661833706617786
13.36675,-0.0658023416764777
13.4665,-0.0654384039789663
13.56625,-0.0650913947802187
13.666,-0.0647611662808513
13.76575,-0.0644475865833742
13.8655,-0.0641505406485965
13.96525,-0.0638699311958396
14.065,-0.063605679594869
14.16475,-0.0633577267413025
14.2645,-0.0631260339234107
14.36425,-0.0629105836711463
14.464,-0.0627113806363261
14.56375,-0.0625284524273958
14.6635,-0.0623618505212303
14.76325,-0.0622116511112693
14.863,-0.0620779560367277
14.96275,-0.061960893697416
15.0625,-0.061860619986552
