"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
35,-180,0,4.82413308903292
35,-180,2,4.82105928181468
35,-180,4,4.80127218725148
35,-180,6,4.76523464394209
35,-180,8,4.71360216890987
35,-180,10,4.64720409078092
35,-180,12,4.56702120699336
35,-180,14,4.47416083213177
35,-180,16,4.36983015896776
35,-180,18,4.25530886417498
35,-180,20,4.1319218588594
35,-180,22,4.00101301409983
35,-180,24,3.86392058960739
35,-180,26,3.72195496682674
35,-180,28,3.57637914470852
35,-180,30,3.42839230576794
35,-180,32,3.27911661050452
35,-180,34,3.12958723764348
35,-180,36,2.98074556258892
35,-180,38,2.8334352619729
35,-180,40,2.6884010514392
35,-180,42,2.54628970813247
35,-180,44,2.40765299831301
35,-180,46,2.27295212209111
35,-180,48,2.14256329829523
35,-180,50,2.01678413900024
35,-180,52,1.89584050093408
35,-180,54,1.77989354557214
35,-180,56,1.66904678729241
35,-180,58,1.56335295616524
35,-180,60,1.46282054618547
35,-180,62,1.36741995919859
35,-180,64,1.27708918835336
35,-180,66,1.19173901222269
35,-180,68,1.11125769189431
35,-180,70,1.035515178862
35,-180,72,0.964366852208999
35,-180,74,0.897656810256878
35,-180,76,0.835220745458279
35,-180,78,0.776888432690008
35,-180,80,0.722485860993887
35,-180,82,0.671837037829076
35,-180,84,0.624765493517946
35,-180,86,0.58109551213981
35,-180,88,0.540653113895828
35,-180,90,0.503266813088016
35,-180,92,0.468768175409289
35,-180,94,0.436992198257874
35,-180,96,0.407777538251441
35,-180,98,0.380966610966735
35,-180,100,0.356405589073495
35,-180,102,0.333944326330527
35,-180,104,0.313436236188857
35,-180,106,0.294738154781973
35,-180,108,0.277710218619377
35,-180,110,0.262215787053871
35,-180,112,0.248121438272943
35,-180,114,0.235297064895113
35,-180,116,0.223616091005571
35,-180,118,0.212955826498808
35,-180,120,0.203197966886973
35,-180,122,0.194229237413426
35,-180,124,0.185942169692104
35,-180,126,0.178235987674153
35,-180,128,0.17101756820276
35,-180,130,0.164202430582368
35,-180,132,0.157715700379948
35,-180,134,0.151492986032089
35,-180,136,0.145481103616803
35,-180,138,0.139638586056348
35,-180,140,0.133935918475676
35,-180,142,0.128355451538849
35,-180,144,0.122890959024673
35,-180,146,0.117546823989423
35,-180,148,0.112336858543755
35,-180,150,0.107282784200981
35,-180,152,0.102412421414954
35,-180,154,0.0977576567492648
35,-180,156,0.0933522726240542
