"Freq [GHz]","dB(St(signal_T1,signal_T1)) []"
10,-0.125637258610956
10.9,-0.149123800126856
11.8,-0.174548373300454
12.7,-0.201890470376965
13.6,-0.231128167564445
14.5,-0.262238181028932
15.4,-0.295195928553115
16.3,-0.329975596683294
17.2,-0.366550213086165
18.1,-0.404891723740566
19,-0.444971074502616
19.9,-0.486758296508362
20.8,-0.530222594817798
21.7,-0.575332439658963
22.6,-0.622055659601167
23.5,-0.670359535972022
24.4,-0.720210897833077
25.3,-0.771576216842324
26.2,-0.824421701357221
27.1,-0.878713389167346
28,-0.934417238289736
28.9,-0.991499215310354
29.8,-1.04992538081023
30.7,-1.10966197147303
31.6,-1.17067547853027
32.5,-1.23293272226036
33.4,-1.29640092231569
34.3,-1.36104776370879
35.2,-1.4268414583417
36.1,-1.49375080201243
37,-1.56174522687844
37.9,-1.63079484939779
38.8,-1.70087051380613
39.7,-1.77194383121949
40.6,-1.84398721448066
41.5,-1.91697390889053
42.4,-1.9908780189848
43.3,-2.06567453153175
44.2,-2.14133933493868
45.1,-2.21784923526267
46,-2.29518196902689
46.9,-2.37331621304628
47.8,-2.45223159146651
48.7,-2.53190868021876
49.6,-2.61232900908869
50.5,-2.69347506159327
51.4,-2.77533027285262
52.3,-2.85787902563645
53.2,-2.9411066447565
54.1,-3.02499938996737
55,-3.10954444752881
55.9,-3.19472992057231
56.8,-3.28054481840541
57.7,-3.36697904487623
58.6,-3.45402338591121
59.5,-3.54166949632805
60.4,-3.62990988601643
61.3,-3.71873790556848
62.2,-3.80814773143147
63.1,-3.89813435064507
64,-3.98869354521653
64.9,-4.07982187617708
65.8,-4.17151666735425
66.7,-4.26377598888538
67.6,-4.35659864048882
68.5,-4.44998413450038
69.4,-4.54393267867406
70.3,-4.63844515873716
71.2,-4.73352312068134
72.1,-4.82916875276226
73,-4.9253848671719
73.9,-5.02217488133831
74.8,-5.11954279879855
75.7,-5.21749318958124
76.6,-5.31603117002511
77.5,-5.41516238194989
78.4,-5.51489297108541
79.3,-5.61522956465349
80.2,-5.71617924798535
81.1,-5.81774954004515
82,-5.91994836771661
82.9,-6.02278403869614
83.8,-6.12626521282027
84.7,-6.23040087163957
85.6,-6.3352002860337
86.5,-6.44067298164404
87.4,-6.54682870187997
88.3,-6.65367736823434
89.2,-6.76122903761985
90.1,-6.86949385641423
91,-6.97848201087529
91.9,-7.08820367355864
92.8,-7.19866894534087
93.7,-7.30988779261837
94.6,-7.42186997921744
95.5,-7.53462499251493
96.4,-7.64816196322961
97.3,-7.76248957830327
98.2,-7.87761598624764
99.1,-7.9935486942881
100,-8.11029445658795
