"Freq [GHz]","mag(S(2,1)) []","mag(S(1,1)) []"
1,0.992824891421388,0.00725086914018567
1.32,0.992082297416439,0.00989150490166966
1.64,0.991504304136415,0.0127065555109254
1.96,0.991034060179305,0.0156643758908556
2.28,0.990627838010202,0.0187308143844978
2.6,0.990257409320243,0.0218742102101327
2.92,0.989905520730386,0.0250673971110772
3.24,0.989561842359135,0.0282884575161887
3.56,0.989220274868579,0.0315207801075037
3.88,0.988877286083557,0.0347525202293719
4.2,0.988530899123271,0.0379756743338479
4.52,0.988180074769464,0.0411850655274873
4.84,0.987824331603981,0.0443774551013627
5.16,0.987463511184658,0.0475508635273991
5.48,0.987097633043378,0.0507040948182335
5.8,0.986726806071763,0.0538364217573694
6.12,0.986351175628326,0.0569473854141871
6.44,0.985970893337249,0.0600366709582707
6.76,0.985586101227723,0.0631040325490722
7.08,0.985196924800289,0.0661492490711508
7.4,0.984803471491659,0.0691720989627701
7.72,0.984405832240841,0.0721723467223015
8.04,0.984004084673764,0.0751497364692911
8.36,0.983598296965953,0.0781039896978369
8.68,0.983188531804424,0.0810348054584208
9,0.982774850109973,0.0839418618863688
9.32,0.982357314338547,0.0868248184178792
9.64,0.981935991281918,0.0896833182965436
9.96,0.981510954351336,0.0925169911355731
10.28,0.981082285365858,0.0953254554013027
10.6,0.980650075887977,0.0981083207453631
10.92,0.980214428159067,0.100865190150657
11.24,0.979775455690063,0.103595661878998
11.56,0.979333283561326,0.106299331221617
11.88,0.978888048481862,0.108975792061197
12.2,0.978439898652946,0.111624638258023
12.52,0.977988993475737,0.114245464874445
12.84,0.977535503136974,0.116837869252244
13.16,0.97707960810173,0.119401451957036
13.48,0.976621498537494,0.121935817603053
13.8,0.97616137368972,0.124440575570584
14.12,0.975699441225362,0.126915340627288
14.44,0.975235916557823,0.129359733463483
14.76,0.974771022164099,0.131773381150518
15.08,0.974304986902716,0.134155917530356
15.4,0.97383804533918,0.136506983543654
15.72,0.973370437084185,0.138826227502831
16.04,0.972902406148533,0.141113305315936
16.36,0.972434200317722,0.143367880666506
16.68,0.971966070548318,0.145589625154055
17,0.97149827038758,0.147778218399368
17.32,0.971031055417234,0.149933348118339
17.64,0.970564682721925,0.152054710167722
17.96,0.970099410382465,0.154142008565828
18.28,0.969635496993818,0.156194955490925
18.6,0.969173201207478,0.158213271259816
18.92,0.968712781297799,0.160196684288867
19.24,0.968254494751702,0.162144931039521
19.56,0.967798597881082,0.164057755950184
19.88,0.967345345457194,0.165934911356185
20.2,0.966894990366265,0.16777615739936
20.52,0.966447783285523,0.169581261928705
20.84,0.966003972378851,0.171350000393389
21.16,0.965563803011249,0.173082155729331
21.48,0.965127517481299,0.174777518240437
21.8,0.964695354770843,0.176435885475512
22.12,0.964267550311079,0.178057062101744
22.44,0.963844335764309,0.179640859775645
22.76,0.963425938820598,0.181187097012179
23.08,0.963012583008605,0.182695599052821
23.4,0.962604487519878,0.184166197733166
23.72,0.962201867045937,0.185598731350696
24.04,0.961804931627471,0.186993044533219
24.36,0.961413886515012,0.188348988108487
24.68,0.961028932040474,0.189666418975408
25,0.960650263498953,0.19094519997726
25.32,0.960278071040235,0.192185199777245
25.64,0.959912539569436,0.193386292736713
25.96,0.959553848656279,0.194548358796304
26.28,0.959202172452483,0.195671283360281
26.6,0.958857679616795,0.196754957184228
26.92,0.958520533247199,0.197799276266318
27.24,0.958190890819867,0.198804141742285
27.56,0.957868904134438,0.199769459784221
27.88,0.957554719265227,0.200695141503306
28.2,0.95724847651799,0.201581102856528
28.52,0.956950310391883,0.202427264557456
28.84,0.956660349546299,0.203233551991095
29.16,0.956378716772238,0.203999895132826
29.48,0.956105528967938,0.204726228471439
29.8,0.955840897118477,0.205412490936228
30.12,0.955584926279078,0.206058625828112
30.44,0.955337715561886,0.206664580754741
30.76,0.955099358125969,0.207230307569518
31.08,0.954869941170346,0.207755762314465
31.4,0.954649545929833,0.208240905166865
31.72,0.954438247673514,0.208685700389574
32.04,0.954236115705682,0.20909011628492
32.36,0.954043213369059,0.209454125152083
32.68,0.953859598050165,0.209777703247857
33,0.953685321186683,0.210060830750671
33.32,0.953520428276675,0.210303491727782
33.64,0.953364958889533,0.210505674105502
33.96,0.953218946678526,0.210667369642371
34.28,0.953082419394835,0.210788573905149
34.6,0.952955398902941,0.210869286247531
34.92,0.952837901197266,0.210909509791462
35.24,0.952729936419937,0.210909251410982
35.56,0.952631508879565,0.210868521718466
35.88,0.952542617070914,0.210787335053197
36.2,0.952463253695342,0.210665709472181
36.52,0.952393405681898,0.210503666743116
36.84,0.952333054208928,0.210301232339463
37.16,0.952282174726085,0.21005843543755
37.48,0.952240736976591,0.209775308915653
37.8,0.952208705019624,0.209451889355034
38.12,0.952186037252679,0.209088217042882
38.44,0.952172686433776,0.208684335977161
38.76,0.952168599703355,0.208240293873339
39.08,0.95217371860572,0.207756142173026
39.4,0.95218797910989,0.207231936054519
39.72,0.9522113116297,0.206667734445297
40.04,0.952243641043036,0.206063600036519
40.36,0.952284886710036,0.205419599299561
40.68,0.952334962490163,0.204735802504691
41,0.952393776758003,0.204012283741955
41.32,0.952461232417685,0.203249120944371
41.64,0.952537226915836,0.202446395913566
41.96,0.952621652252962,0.201604194347959
42.28,0.952714394993213,0.200722605873662
42.6,0.952815336272448,0.199801724078229
42.92,0.952924351804598,0.19884164654745
43.24,0.953041311886274,0.197842474905354
43.56,0.95316608139966,0.19680431485763
43.88,0.953298519813685,0.195727276238683
44.2,0.95343848118354,0.194611473062521
44.52,0.953585814148595,0.193457023577747
44.84,0.953740361928813,0.192264050326861
45.16,0.953901962319769,0.191032680210163
45.48,0.954070447686399,0.189763044554493
45.8,0.954245644955639,0.1884552791871
46.12,0.954427375608115,0.18710952451492
46.44,0.954615455669076,0.185725925609535
46.76,0.954809695698782,0.184304632298132
47.08,0.955009900782543,0.182845799260732
47.4,0.955215870520675,0.18134958613401
47.72,0.955427399018583,0.179816157621998
48.04,0.955644274877262,0.178245683613975
48.36,0.955866281184449,0.176638339309845
48.68,0.956093195506719,0.174994305353292
49,0.956324789882785,0.173313767973021
49.32,0.956560830818303,0.17159691913235
49.64,0.956801079282446,0.169843956687447
49.96,0.957045290706537,0.168055084554458
50.28,0.957293214985033,0.166230512885803
50.6,0.95754459647913,0.164370458255857
50.92,0.957799174023279,0.16247514385624
51.24,0.958056680934877,0.160544799700934
51.56,0.958316845027419,0.158579662841386
51.88,0.95857938862737,0.15657997759176
52.2,0.958844028595009,0.154545995764481
52.52,0.959110476349525,0.152477976916148
52.84,0.959378437898578,0.150376188603917
53.16,0.959647613872597,0.148240906652368
53.48,0.959917699564026,0.146072415430877
53.8,0.960188384971761,0.143871008141462
54.12,0.96045935485098,0.141636987117034
54.44,0.960730288768582,0.139370664129949
54.76,0.961000861164448,0.137072360710721
55.08,0.961270741418687,0.134742408476721
55.4,0.961539593925094,0.132381149470648
55.72,0.961807078170959,0.129988936508515
56.04,0.962072848823413,0.127566133536885
56.36,0.962336555822477,0.125113115999059
56.68,0.962597844480945,0.122630271209881
57,0.962856355591253,0.120117998738857
57.32,0.96311172553948,0.117576710801273
57.64,0.963363586426572,0.115006832657014
57.96,0.963611566196935,0.112408803016873
58.28,0.963855288774478,0.109783074456184
58.6,0.964094374206205,0.107130113835782
58.92,0.964328438813449,0.104450402730444
59.24,0.964557095350786,0.101744437865237
59.56,0.964779953172732,0.0990127315605712
59.88,0.964996618408232,0.0962558121871894
60.2,0.965206694142993,0.093474224633039
60.52,0.965409780609669,0.0906685307847976
60.84,0.965605475385927,0.0878393100280424
61.16,0.965793373600346,0.0849871597716407
61.48,0.965973068146171,0.0821126960041259
61.8,0.966144149902844,0.0792165538927911
62.12,0.966306207965284,0.0762993884403317
62.44,0.96645882988082,0.0733618752195505
62.76,0.966601601893716,0.0704047112146227
63.08,0.966734109197141,0.0674286158087361
63.4,0.966855936192506,0.0644343319742237
63.72,0.966966666755977,0.0614226277450786
64.04,0.967065884512023,0.0583942980870255
64.36,0.967153173113827,0.0553501673335861
64.68,0.967228116530306,0.052291092438638
65,0.967290299339592,0.0492179674251525
